[2024-08-26 20:06:04.722]	 List of discovered tpm plugins: tmux-plugins/tpm tmux-plugins/tmux-sensible erikw/tmux-powerline
[2024-08-26 20:06:04.737]	 Invoking /home/chime/.tmux/plugins//tpm/bin/install_plugins
[2024-08-26 20:06:04.762]	 Installing "tmux-sensible"
[2024-08-26 20:06:04.763]	 Installing "tmux-powerline"
[2024-08-26 20:06:04.763]	 Already installed "tpm"
[2024-08-26 20:06:05.008]	   "tmux-sensible" download success
[2024-08-26 20:06:05.047]	   "tmux-powerline" download success
[2024-08-26 20:06:05.062]	 Invoking /home/chime/.tmux/plugins//tpm/bin/update_plugins all
[2024-08-26 20:06:05.081]	 Updating all plugins!
[2024-08-26 20:06:05.081]	 
[2024-08-26 20:06:05.248]	   "tmux-powerline" update success
[2024-08-26 20:06:05.250]	     | Already up to date.
[2024-08-26 20:06:05.264]	   "tmux-sensible" update success
[2024-08-26 20:06:05.266]	     | Already up to date.
[2024-08-26 20:06:05.936]	   "tpm" update success
[2024-08-26 20:06:05.938]	     | Already up to date.
[2024-08-26 20:06:05.938]	     | Submodule 'lib/tmux-test' (https://github.com/tmux-plugins/tmux-test.git) registered for path 'lib/tmux-test'
[2024-08-26 20:06:05.939]	     | Cloning into '/home/chime/.tmux/plugins/tpm/lib/tmux-test'...
[2024-08-26 20:06:05.939]	     | From https://github.com/tmux-plugins/tmux-test
[2024-08-26 20:06:05.939]	     |  * branch            33fa65fbfb72ba6dd106c21bf5ee6cc353ecdbb6 -> FETCH_HEAD
[2024-08-26 20:06:05.939]	     | Submodule path 'lib/tmux-test': checked out '33fa65fbfb72ba6dd106c21bf5ee6cc353ecdbb6'
[2024-08-26 20:06:05.955]	 Invoking /home/chime/.tmux/plugins//tpm/bin/clean_plugins all
[2024-08-26 20:06:05.993]	 Done.

[2024-08-26 20:06:08.075]	 List of discovered tpm plugins: tmux-plugins/tpm tmux-plugins/tmux-sensible erikw/tmux-powerline
[2024-08-26 20:06:08.089]	 Invoking /home/chime/.tmux/plugins//tpm/bin/install_plugins
[2024-08-26 20:06:08.116]	 Already installed "tpm"
